sampleID,B_cell,T_cell.CD4,T_cell.CD8,Neutrophil,Macrophage,DC
Vehicle_S1,0.0972124804127859,0.114657994974945,0.201461892558011,0.127267961919551,0.0551305608808464,0.478782203423449
Vehicle_S2,0.0995457333509006,0.115437889169442,0.199589756964811,0.128139762559014,0.0581352880427116,0.478463625690583
Vehicle_S9,0.0981610902777955,0.113538138408345,0.207782762384397,0.128000676460333,0.0569543120380856,0.482233420130532
SMAC_S3,0.0949813273769811,0.105311124735515,0.22293292604285,0.130662403197172,0.0599039240840221,0.489859453989406
SMAC_S11,0.0937197338932817,0.108659635695064,0.217591925458133,0.130683081714725,0.0549231440914981,0.488576388661698
SMAC_S12,0.0964343084912798,0.109236482902107,0.217105744975233,0.129831319445079,0.0602080253190767,0.485854136785322
ICB_S5,0.0943459164344292,0.104519506812905,0.235364903669471,0.132821466771676,0.0586086416366598,0.493553093771092
ICB_S13,0.0962422169275764,0.106499952547547,0.226981105646195,0.131928389448513,0.0579127812452518,0.491042044523353
ICB_S14,0.0967754536353326,0.107586633499483,0.22515095200015,0.130347992828722,0.0583764405530763,0.491565749100483
SMAC+ICB_S7,0.0937056947777679,0.10308359389727,0.240817057679462,0.132664319898829,0.0594013091983225,0.494872592929434
SMAC+ICB_S8,0.0954902446920313,0.106314425637655,0.236869800796728,0.133486894848037,0.0604821927969633,0.495899076023797
SMAC+ICB_S15,0.0936453154090683,0.107125929151544,0.224940025135556,0.133585431041792,0.0586539530438137,0.49268428979812
